raw,att,att_perc,comm,comm_perc,dp,dp_perc,inv,inv_perc,pc,pc_perc,sws,sws_perc,rf,rf_perc
48,,,,,,,,,,,,,100,99
47,,,,,,,,,,,,,98,99
46,,,,,,,,,,,,,97,99
45,72,99,,,,,,,,,,,95,99
44,71,98,,,,,,,,,,,94,99
43,69,97,,,,,,,,,,,93,99
42,68,96,,,,,,,,,,,91,99
41,66,95,,,,,,,,,,,90,99
40,65,93,,,,,,,,,,,89,99
39,63,90,68,99,,,,,,,,,87,99
38,62,87,67,99,,,,,,,,,86,99
37,60,84,65,97,,,,,,,,,85,99
36,59,80,64,95,,,,,67,99,,,83,99
35,57,75,62,92,,,,,65,97,,,82,99
34,56,71,61,87,,,,,63,93,,,80,99
33,54,65,59,82,,,,,61,87,,,79,99
32,53,60,58,76,,,,,59,80,,,78,98
31,51,54,56,70,,,,,57,73,,,76,98
30,50,48,55,64,,,,,55,65,66,95,75,98
29,48,42,53,57,,,,,53,57,64,92,74,97
28,47,37,52,51,,,,,51,49,63,89,72,97
27,45,31,50,45,70,98,82,99,49,42,61,84,71,96
26,44,26,49,39,68,97,79,99,47,35,59,80,70,96
25,42,22,47,34,66,94,77,99,45,29,57,74,68,95
24,41,18,45,29,63,90,75,99,43,24,56,69,67,94
23,39,14,44,24,61,86,73,98,41,19,54,63,65,93
22,38,11,42,21,59,80,70,97,39,15,52,57,64,91
21,36,9,41,17,56,73,68,96,37,11,51,51,63,90
20,35,7,39,14,54,65,66,94,35,8,49,45,61,88
19,33,5,38,12,52,56,64,92,33,6,47,39,60,86
18,32,4,36,10,49,48,62,88,31,4,45,34,59,83
17,30,3,35,8,47,39,59,84,28,3,44,28,57,80
16,29,2,33,7,44,31,57,78,26,2,42,23,56,77
15,27,1,32,5,42,23,55,70,24,1,40,19,55,73
14,26,1,30,4,40,16,53,62,22,1,39,15,53,68
13,24,1,29,3,37,11,50,53,20,1,37,11,52,63
12,23,1,27,3,35,7,48,43,18,1,35,8,50,58
11,21,1,26,2,33,4,46,34,16,1,33,5,49,52
10,20,1,24,2,30,2,44,26,14,1,32,3,48,46
9,18,1,23,1,28,1,41,18,12,1,30,2,46,40
8,17,1,21,1,26,1,39,13,10,1,28,1,45,33
7,15,1,20,1,23,1,37,8,10,1,27,1,44,27
6,14,1,18,1,21,1,35,5,10,1,25,1,42,21
5,12,1,17,1,18,1,32,3,10,1,23,1,41,16
4,11,1,15,1,16,1,30,2,10,1,21,1,39,12
3,10,1,14,1,14,1,28,1,10,1,20,1,38,8
2,10,1,12,1,11,1,26,1,10,1,18,1,37,5
1,10,1,10,1,10,1,23,1,10,1,16,1,35,3
0,10,1,10,1,10,1,21,1,10,1,15,1,34,2
