raw,att,att_perc,comm,comm_perc,dp,dp_perc,inv,inv_perc,pc,pc_perc,sws,sws_perc,rf,rf_perc
48,,,,,,,,,,,,,100,99
47,,,,,,,,,,,,,100,99
46,,,,,,,,,,,,,100,99
45,67,99,,,,,,,,,,,100,99
44,65,97,,,,,,,,,,,99,99
43,64,94,,,,,,,,,,,98,99
42,63,91,,,,,,,,,,,96,99
41,61,87,,,,,,,,,,,95,99
40,60,82,,,,,,,,,,,94,99
39,58,77,63,96,,,,,,,,,92,99
38,57,71,62,89,,,,,,,,,91,99
37,55,66,60,83,,,,,,,,,89,99
36,54,60,59,76,,,,,66,97,,,88,99
35,52,54,57,70,,,,,64,93,,,86,99
34,51,49,56,64,,,,,61,87,,,85,99
33,49,43,54,58,,,,,59,80,,,83,99
32,48,38,53,53,,,,,57,73,,,82,99
31,46,33,51,48,,,,,55,65,,,80,99
30,45,29,50,43,,,,,53,57,62,90,79,99
29,43,25,48,39,,,,,51,49,60,83,78,99
28,42,21,47,35,,,,,49,42,59,76,76,99
27,41,18,45,31,66,96,72,99,47,35,57,69,75,98
26,39,15,44,27,63,91,70,98,44,29,55,62,73,98
25,38,12,42,24,61,84,68,96,42,23,54,56,72,97
24,36,10,40,20,58,77,66,94,40,18,52,51,70,97
23,35,8,39,17,56,69,64,91,38,14,50,45,69,96
22,33,6,37,14,53,60,62,87,36,10,49,40,67,95
21,32,5,36,12,51,52,60,83,34,7,47,36,66,93
20,30,4,34,9,48,44,59,78,32,5,46,32,65,92
19,29,3,33,7,46,36,57,73,29,3,44,28,63,90
18,27,2,31,5,43,28,55,67,27,1,42,24,62,87
17,26,2,30,3,41,21,53,61,25,1,41,20,60,85
16,24,1,28,2,38,15,51,55,23,1,39,17,59,82
15,23,1,27,1,36,10,49,48,21,1,38,14,57,78
14,21,1,25,1,33,6,47,41,19,1,36,12,56,75
13,20,1,24,1,31,3,45,34,17,1,34,9,54,70
12,19,1,22,1,28,1,43,28,14,1,33,7,53,65
11,17,1,21,1,26,1,41,21,12,1,31,5,52,60
10,16,1,19,1,23,1,39,15,10,1,30,4,50,55
9,14,1,18,1,21,1,37,10,10,1,28,2,49,49
8,13,1,16,1,18,1,35,5,10,1,26,1,47,43
7,11,1,15,1,16,1,33,2,10,1,25,1,46,37
6,10,1,13,1,13,1,31,1,10,1,23,1,44,31
5,10,1,12,1,11,1,29,1,10,1,22,1,43,25
4,10,1,10,1,10,1,27,1,10,1,20,1,41,20
3,10,1,10,1,10,1,25,1,10,1,18,1,40,15
2,10,1,10,1,10,1,23,1,10,1,17,1,39,11
1,10,1,10,1,10,1,21,1,10,1,15,1,37,8
0,10,1,10,1,10,1,19,1,10,1,14,1,36,5
