raw,att,att_perc,comm,comm_perc,dp,dp_perc,inv,inv_perc,pc,pc_perc,sws,sws_perc,rf,rf_perc
48,,,,,,,,,,,,,100,99
47,,,,,,,,,,,,,100,99
46,,,,,,,,,,,,,100,99
45,64,95,,,,,,,,,,,100,99
44,63,92,,,,,,,,,,,100,99
43,61,88,,,,,,,,,,,100,99
42,60,83,,,,,,,,,,,100,99
41,58,78,,,,,,,,,,,100,99
40,57,72,,,,,,,,,,,100,99
39,55,66,63,94,,,,,,,,,99,99
38,54,61,61,88,,,,,,,,,98,99
37,53,55,59,81,,,,,,,,,96,99
36,51,49,58,74,,,,,64,97,,,94,99
35,50,44,56,66,,,,,62,93,,,93,99
34,48,39,54,59,,,,,60,87,,,91,99
33,47,34,52,52,,,,,58,80,,,89,99
32,45,30,50,45,,,,,56,71,,,87,99
31,44,26,49,39,,,,,55,63,,,86,99
30,42,22,47,34,,,,,53,54,61,87,84,99
29,41,19,45,29,,,,,51,46,59,80,82,99
28,39,16,43,24,,,,,49,39,58,74,81,99
27,38,13,41,20,64,96,69,98,47,32,56,67,79,99
26,36,11,40,17,62,89,67,96,45,26,55,61,77,99
25,35,9,38,13,60,81,65,94,43,22,53,55,76,99
24,34,7,36,11,58,73,63,90,41,17,52,49,74,98
23,32,6,34,9,55,64,61,86,39,14,50,44,72,98
22,31,4,33,7,53,56,59,80,37,11,49,39,70,97
21,29,3,31,5,51,48,57,74,35,9,47,35,69,96
20,28,2,29,4,49,41,55,68,33,7,46,30,67,95
19,26,2,27,3,47,34,53,61,31,5,44,27,65,93
18,25,1,25,2,44,28,51,54,30,4,43,23,64,91
17,23,1,24,1,42,23,50,47,28,3,42,20,62,88
16,22,1,22,1,40,18,48,40,26,2,40,17,60,85
15,20,1,20,1,38,14,46,34,24,2,39,15,59,81
14,19,1,18,1,36,10,44,28,22,1,37,13,57,76
13,17,1,16,1,33,7,42,22,20,1,36,11,55,71
12,16,1,15,1,31,5,40,17,18,1,34,9,53,66
11,15,1,13,1,29,3,38,13,16,1,33,7,52,60
10,13,1,11,1,27,1,36,10,14,1,31,6,50,53
9,12,1,10,1,25,1,34,7,12,1,30,5,48,46
8,10,1,10,1,22,1,32,5,10,1,28,4,47,39
7,10,1,10,1,20,1,30,3,10,1,27,3,45,33
6,10,1,10,1,18,1,29,2,10,1,25,2,43,26
5,10,1,10,1,16,1,27,1,10,1,24,1,42,21
4,10,1,10,1,14,1,25,1,10,1,23,1,40,15
3,10,1,10,1,12,1,23,1,10,1,21,1,38,11
2,10,1,10,1,10,1,21,1,10,1,20,1,36,8
1,10,1,10,1,10,1,19,1,10,1,18,1,35,5
0,10,1,10,1,10,1,17,1,10,1,17,1,33,3
