raw,att,att_perc,comm,comm_perc,dp,dp_perc,inv,inv_perc,pc,pc_perc,sws,sws_perc,rf,rf_perc
48,,,,,,,,,,,,,100,99
47,,,,,,,,,,,,,100,99
46,,,,,,,,,,,,,100,99
45,65,97,,,,,,,,,,,100,99
44,64,94,,,,,,,,,,,100,99
43,63,91,,,,,,,,,,,100,99
42,61,87,,,,,,,,,,,100,99
41,60,82,,,,,,,,,,,99,99
40,58,77,,,,,,,,,,,97,99
39,57,71,63,94,,,,,,,,,96,99
38,55,66,62,90,,,,,,,,,94,99
37,54,60,60,84,,,,,,,,,92,99
36,52,54,58,77,,,,,66,98,,,91,99
35,51,49,57,70,,,,,64,95,,,89,99
34,49,44,55,63,,,,,62,89,,,87,99
33,48,39,53,56,,,,,60,82,,,86,99
32,47,34,51,49,,,,,58,74,,,84,99
31,45,30,50,43,,,,,55,66,,,82,99
30,44,26,48,37,,,,,53,57,63,92,81,99
29,42,22,46,31,,,,,51,49,61,86,79,99
28,41,19,44,27,,,,,49,41,59,79,77,98
27,39,16,43,22,66,96,74,99,47,34,58,73,76,98
26,38,13,41,18,64,92,72,98,45,28,56,66,74,98
25,36,11,39,15,61,85,70,97,42,22,54,60,72,97
24,35,9,37,12,59,78,68,95,40,18,53,54,71,97
23,34,7,36,10,57,71,66,93,39,14,51,48,69,96
22,32,5,34,8,54,63,64,91,36,10,49,42,67,95
21,31,4,32,6,52,55,62,88,34,7,48,37,66,94
20,29,3,31,5,49,46,60,84,32,5,46,33,64,92
19,28,2,29,3,47,39,58,79,30,4,44,28,62,90
18,26,2,27,2,45,31,56,73,27,2,43,24,61,88
17,25,1,25,2,42,24,54,67,25,1,41,20,59,85
16,23,1,24,1,40,18,52,60,23,1,39,17,57,81
15,22,1,22,1,37,13,50,52,21,1,38,14,56,77
14,21,1,20,1,35,8,48,44,19,1,36,11,54,72
13,19,1,18,1,33,5,46,36,17,1,34,8,52,65
12,18,1,17,1,30,2,44,28,15,1,33,6,51,58
11,16,1,15,1,28,1,41,21,12,1,31,4,49,51
10,15,1,13,1,25,1,39,15,10,1,29,3,47,43
9,13,1,12,1,23,1,37,9,10,1,28,2,46,34
8,12,1,10,1,21,1,35,5,10,1,26,1,44,27
7,10,1,10,1,18,1,33,3,10,1,24,1,42,20
6,10,1,10,1,16,1,31,1,10,1,23,1,41,14
5,10,1,10,1,13,1,29,1,10,1,21,1,39,10
4,10,1,10,1,11,1,27,1,10,1,19,1,37,7
3,10,1,10,1,10,1,25,1,10,1,18,1,36,4
2,10,1,10,1,10,1,23,1,10,1,16,1,34,3
1,10,1,10,1,10,1,21,1,10,1,14,1,32,2
0,10,1,10,1,10,1,19,1,10,1,13,1,31,1
