raw,att,att_perc,comm,comm_perc,dp,dp_perc,inv,inv_perc,pc,pc_perc,sws,sws_perc,rf,rf_perc
48,,,,,,,,,,,,,100,99
47,,,,,,,,,,,,,100,99
46,,,,,,,,,,,,,100,99
45,64,95,,,,,,,,,,,100,99
44,63,90,,,,,,,,,,,100,99
43,61,84,,,,,,,,,,,100,99
42,59,78,,,,,,,,,,,100,99
41,57,71,,,,,,,,,,,100,99
40,55,65,,,,,,,,,,,98,99
39,53,58,60,90,,,,,,,,,97,99
38,52,52,59,79,,,,,,,,,95,99
37,50,46,57,69,,,,,,,,,93,99
36,48,40,55,59,,,,,66,98,,,92,99
35,46,35,53,51,,,,,64,93,,,90,99
34,44,30,51,44,,,,,62,87,,,88,99
33,43,25,49,38,,,,,60,81,,,87,99
32,41,20,47,32,,,,,58,73,,,85,99
31,39,16,45,27,,,,,56,66,,,83,99
30,37,13,44,23,,,,,53,58,61,89,82,99
29,35,10,42,20,,,,,51,51,60,82,80,99
28,34,7,40,16,,,,,49,44,58,75,78,99
27,32,4,38,14,65,95,68,98,47,37,56,67,77,98
26,30,3,36,11,63,91,66,95,45,31,54,60,75,98
25,28,1,34,9,61,86,64,92,43,25,53,53,73,98
24,26,1,32,7,59,79,62,87,41,20,51,47,72,97
23,24,1,31,6,56,71,60,82,39,16,49,40,70,96
22,23,1,29,4,54,62,58,76,37,12,47,35,68,96
21,21,1,27,3,52,53,56,69,35,8,46,30,67,95
20,19,1,25,2,49,45,54,62,33,6,44,25,65,93
19,17,1,23,2,47,37,51,54,31,4,42,21,63,92
18,15,1,21,1,45,29,49,47,28,2,40,18,62,89
17,14,1,19,1,43,23,47,40,26,1,39,14,60,87
16,12,1,17,1,40,17,45,33,24,1,37,12,58,83
15,10,1,16,1,38,13,43,26,22,1,35,9,57,79
14,10,1,14,1,36,9,41,21,20,1,33,7,55,74
13,10,1,12,1,34,6,39,15,18,1,32,6,53,68
12,10,1,10,1,31,4,37,11,16,1,30,4,52,61
11,10,1,10,1,29,3,35,7,14,1,28,3,50,54
10,10,1,10,1,27,2,33,4,12,1,26,2,48,45
9,10,1,10,1,24,1,31,2,10,1,25,2,47,37
8,10,1,10,1,22,1,28,1,10,1,23,1,45,29
7,10,1,10,1,20,1,26,1,10,1,21,1,43,22
6,10,1,10,1,18,1,24,1,10,1,19,1,42,16
5,10,1,10,1,15,1,22,1,10,1,18,1,40,12
4,10,1,10,1,13,1,20,1,10,1,16,1,38,8
3,10,1,10,1,11,1,18,1,10,1,14,1,37,6
2,10,1,10,1,10,1,16,1,10,1,12,1,35,4
1,10,1,10,1,10,1,14,1,10,1,11,1,33,3
0,10,1,10,1,10,1,12,1,10,1,10,1,32,2
